,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,44.6,70,75,5.86,AR,1603587071
1,Manta,-0.95,-80.73,73.4,78,90,8.05,EC,1603586852
2,Busselton,-33.65,115.33,73.99,34,29,10.31,AU,1603586630
3,Ponta do Sol,32.67,-17.1,62.6,77,20,4.7,PT,1603586853
4,Albany,42.6,-73.97,46.99,67,43,4.0,US,1603586944
5,Amahai,-3.33,128.92,84.07,68,100,0.89,ID,1603586946
6,Mataura,-46.19,168.86,69.67,54,100,10.13,NZ,1603586947
7,Ranot,7.78,100.32,80.46,81,97,5.53,TH,1603586948
8,São Filipe,14.9,-24.5,81.3,71,100,7.76,CV,1603586951
9,Lompoc,34.64,-120.46,66.2,63,90,11.41,US,1603586791
10,Barrow,71.29,-156.79,33.8,86,90,10.29,US,1603586954
11,Harper,4.38,-7.72,77.41,88,0,6.06,LR,1603586956
12,Bambous Virieux,-20.34,57.76,69.8,94,75,11.41,MU,1603586958
13,Fort Nelson,58.81,-122.7,30.2,42,40,2.24,CA,1603586959
14,Caravelas,-17.71,-39.25,76.05,85,100,7.92,BR,1603586835
15,Saskylakh,71.92,114.08,12.31,94,100,19.22,RU,1603586962
16,Bluff,-46.6,168.33,64.38,61,98,18.48,NZ,1603586963
17,Hobart,-42.88,147.33,54.0,70,75,11.41,AU,1603586703
18,Hay River,60.82,-115.8,26.6,73,40,2.24,CA,1603586966
19,Lorengau,-2.02,147.27,86.18,59,67,6.67,PG,1603586969
20,Santa Isabel Rio Negro,-0.41,-65.02,75.79,90,97,2.1,BR,1603586970
21,Leningradskiy,69.38,178.42,23.95,92,0,9.42,RU,1603586782
22,Cherskiy,68.75,161.3,19.11,94,22,4.88,RU,1603586766
23,Punta Arenas,-53.15,-70.92,42.8,93,100,14.99,CL,1603586766
24,Jamestown,42.1,-79.24,42.01,70,90,6.04,US,1603586976
25,Vaini,-21.2,-175.2,73.4,94,90,11.41,TO,1603587256
26,Kapaa,22.08,-159.32,84.99,74,40,17.22,US,1603587144
27,Rawson,-43.3,-65.1,58.41,65,70,12.77,AR,1603587259
28,Mar del Plata,-38.0,-57.56,61.0,100,90,5.82,AR,1603586963
29,Carnarvon,-24.87,113.63,73.4,83,90,17.22,AU,1603587262
30,Port Alfred,-33.59,26.89,65.66,90,1,7.0,ZA,1603587264
31,Ostrovnoy,68.05,39.51,31.59,97,100,12.26,RU,1603586982
32,Ribeira Grande,38.52,-28.7,66.43,80,100,14.74,PT,1603587098
33,Port Elizabeth,-33.92,25.57,60.8,93,0,4.7,ZA,1603587268
34,Klaksvík,62.23,-6.59,46.4,75,100,19.46,FO,1603587269
35,Broken Hill,-31.95,141.43,53.6,58,90,19.46,AU,1603587271
36,Belmonte,-15.86,-38.88,77.0,83,20,9.17,BR,1603587071
37,La Paz,-16.5,-68.15,51.8,40,40,4.7,BO,1603587160
38,Mafinga,-7.25,35.07,67.62,70,0,2.37,TZ,1603587277
39,Yellowknife,62.46,-114.35,24.01,67,75,5.82,CA,1603587278
40,Bella Vista,36.43,-94.23,45.0,87,90,8.05,US,1603587280
41,Tuktoyaktuk,69.45,-133.04,23.0,85,75,9.17,CA,1603587281
42,Tomaszów Lubelski,50.45,23.42,47.32,94,98,2.33,PL,1603587283
43,Rio Branco,-9.97,-67.81,86.0,66,40,5.82,BR,1603587284
44,Severo-Kuril'sk,50.68,156.12,47.23,93,100,11.23,RU,1603587287
45,Lunca Bradului,46.96,25.11,48.0,88,100,4.09,RO,1603587288
46,Half Moon Bay,37.46,-122.43,64.99,87,40,5.82,US,1603586994
47,Longyearbyen,78.22,15.64,21.2,79,75,1.12,SJ,1603587077
48,Arrondissement d'Ajaccio,42.0,8.92,57.2,87,75,5.82,FR,1603587293
49,Quibdó,5.69,-76.66,73.27,96,100,1.88,CO,1603587296
50,Kati,12.74,-8.07,68.0,82,0,2.01,ML,1603587297
51,Puerto Ayora,-0.74,-90.35,66.99,97,100,7.0,EC,1603587299
52,Grabovo,53.39,45.06,46.99,67,100,3.74,RU,1603587300
53,Castro,-24.79,-50.01,63.39,90,100,3.6,BR,1603587150
54,Sol'-Iletsk,51.16,54.99,46.56,93,100,5.46,RU,1603587303
55,Bredasdorp,-34.53,20.04,62.6,82,21,8.05,ZA,1603587304
56,Sayyan,15.17,44.32,47.88,43,0,3.02,YE,1603587306
57,Roebourne,-20.78,117.13,79.27,45,0,9.13,AU,1603587308
58,Hermanus,-34.42,19.23,61.0,85,6,4.0,ZA,1603587246
59,Cape Town,-33.93,18.42,62.01,77,75,8.05,ZA,1603587246
60,Tuatapere,-46.13,167.68,69.69,53,100,12.41,NZ,1603587312
61,Sobolevo,54.43,31.9,44.58,94,99,9.13,RU,1603587313
62,Agüimes,27.91,-15.45,69.8,68,75,18.34,ES,1603587315
63,Arlit,18.74,7.39,76.68,17,0,7.52,NE,1603587317
64,Naze,28.37,129.48,75.2,50,20,10.29,JP,1603587318
65,Butaritari,3.07,172.79,81.01,70,67,8.7,KI,1603587319
66,Sopela,43.38,-2.98,66.2,52,0,16.11,ES,1603587321
67,Norfolk,42.17,-71.25,57.0,66,68,14.99,US,1603587322
68,Carauari,-4.88,-66.9,76.08,89,100,0.49,BR,1603587324
69,Kaitangata,-46.28,169.85,68.9,55,100,8.16,NZ,1603587325
70,Tegul'det,57.31,88.17,25.9,96,100,10.4,RU,1603587327
71,Araguaína,-7.19,-48.21,81.84,59,100,2.48,BR,1603587328
72,Camocim,-2.9,-40.84,79.52,80,0,14.5,BR,1603587330
73,Dudinka,69.41,86.18,12.2,92,75,8.95,RU,1603587331
74,Homer,59.64,-151.55,51.8,53,1,5.82,US,1603587297
75,Escanaba,45.75,-87.06,30.99,74,1,4.7,US,1603587326
76,San Quintín,30.48,-115.95,66.06,77,100,12.39,MX,1603587075
77,Bungu,-7.63,39.06,71.6,95,25,2.37,TZ,1603587337
78,Rikitea,-23.12,-134.97,74.89,80,100,20.85,PF,1603587307
79,Torbay,47.67,-52.73,50.0,100,90,26.4,CA,1603587340
80,Puerto Salgar,5.46,-74.65,76.5,82,100,1.43,CO,1603587342
81,Bay-Khaak,51.17,94.5,25.3,87,100,10.04,RU,1603587345
82,Dingle,11.0,122.67,81.43,79,100,3.36,PH,1603587346
83,Ilulissat,69.22,-51.1,19.4,57,10,16.11,GL,1603587161
84,Arraial do Cabo,-22.97,-42.03,70.39,94,100,21.52,BR,1603587149
85,Hong Kong,22.29,114.16,75.0,64,100,1.99,HK,1603587349
86,Dimitrovgrad,54.21,49.62,41.0,100,100,2.24,RU,1603587352
87,George Town,5.41,100.34,80.6,88,20,2.24,MY,1603587353
88,Saint George,37.1,-113.58,77.0,29,1,10.29,US,1603587284
89,Norman Wells,65.28,-126.83,21.2,92,75,4.7,CA,1603587348
90,East London,-33.02,27.91,68.79,88,4,3.47,ZA,1603587358
91,Rzhaksa,52.13,42.03,50.05,94,100,7.34,RU,1603587359
92,Oyem,1.6,11.58,67.32,99,100,2.33,GA,1603587361
93,Ossora,59.24,163.07,41.83,74,100,9.93,RU,1603587125
94,Oussouye,12.48,-16.55,80.6,94,20,2.24,SN,1603587366
95,Ust-Maya,60.42,134.53,17.4,94,25,3.94,RU,1603587081
96,Chokurdakh,70.63,147.92,14.41,97,45,7.54,RU,1603587103
97,Abomey-Calavi,6.45,2.36,80.6,88,20,10.29,BJ,1603587374
98,New Norfolk,-42.78,147.06,55.0,37,79,5.64,AU,1603587322
99,Taltal,-25.4,-70.48,58.33,73,100,5.55,CL,1603587376
100,Vila Velha,-20.33,-40.29,71.6,94,40,12.17,BR,1603587378
101,Avarua,-21.21,-159.78,75.2,73,64,13.87,CK,1603587158
102,Corowa,-36.03,146.38,62.01,54,50,1.99,AU,1603587381
103,Ust'-Ilimsk,58.0,102.66,29.3,96,100,3.47,RU,1603587382
104,Aktau,43.65,51.2,59.0,87,90,8.95,KZ,1603587106
105,Atuona,-9.8,-139.03,78.62,75,55,19.84,PF,1603587306
106,Forbes,-33.38,148.02,57.99,74,71,1.01,AU,1603587388
107,Balkanabat,39.51,54.37,57.13,38,0,3.78,TM,1603587389
108,Thompson,55.74,-97.86,24.8,68,90,4.7,CA,1603587391
109,Mana,5.66,-53.78,81.5,78,100,11.16,GF,1603587392
